anchor,positive
PARFAIT Plus Size Beige Self Design Underwired Non Padded Minimizer Bra P5272,Beige self design full-coverage Minimizer braNon Padded and Underwired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
JEWEL JUNCTION Silver-Toned Geometric Cufflinks,A pair of silver-toned geometric solid cufflinksComes in a signature JEWEL JUNCTION case
DKNY Unisex Black Large Trolley Bag,"Black textured large trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, an inner mesh zip compartment, two compression straps with click clasps and one zip compartment on the flap with a zip pocketWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer"
DressBerry Off-White Sequinned Top,"Off-white top, has a round neck, short sleeves, sequinned detail along the bodice, ruffled detail along the curved hem"
Parx Men Blue Slim Fit Checked Casual Shirt,"Blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
BuckleUp Women Blue Textured Belt,Blue textured beltSecured with a tang closureWarranty: 1 monthWarranty provided by brand/manufacturer
Gini and Jony Boys Black & White Regular Fit Printed Trousers,"Black and white printed mid-rise trousers, hook and bar closure, and 4 pockets"
PARFAIT Plus Size Women Lavender Lace Boy Shorts 2805,"Lavender lace low-rise boy shorts, has an inner elasticated waistband with bow detailing, double layered gusset"
Bvlgari Goldea Women The Roman Night Eau De Parfum 75 ml,The Roman Night Eau De Parfum
Parx Men Maroon Slim Fit Printed Casual Shirt,"Maroon printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
ColorPlus Men Blue Regular Fit Checked Formal Trousers,"Blue checked mid-rise formal trousers, has a button closure, four pockets"
Parx Men Off-White & Blue Slim Fit Printed Casual Shirt,"Off-white and blue printed casual shirt, has a spread collar, short sleeves, button placket, curved hem, one patch pocket"
HIGHLANDER Men Grey Slim Fit Self Design Regular Trousers,"Grey self-design mid-rise trousers, button closure and four pockets"
Parx Men Beige Slim Fit Solid Regular Trousers,"Beige solid mid-rise regular trousers, has a button closure, four pockets"
Tokyo Talkies Women Green Solid Top,"Green solid regular top,has v-neck,bell sleeves"
BuckleUp Women Tan Textured Belt,Tan textured beltReversible: NoStretchable: NoSecured with a tangWarranty: 1 monthWarranty provided by brand/manufacturer
SPYKAR Women Black Alexa Super Skinny Fit High-Rise Clean Look Stretchable Jeans,"Black dark wash 5-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"
MIAH Decor Set Of 2 Ceramic Bowls,Set Of 2 Ceramic Bowls Pattern: PrintedFinish: GlossyMaterial: Ceramic
Lakme Absolute Matte Melt Liquid Lip Color - 21 Mauve Mix 6 ml,Lakme Absolute Matte Melt Liquid Lip ColorShade name: 21 Mauve Mix
Campus Sutra Men Blue & White Ombre-Dyed Henley Neck T-shirt,"Blue and white ombre-dyed T-shirt, has a Henley neck, and short sleeves"
Allen Solly Woman Women White Printed Top,"White printed woven regular  top, has a round neck, and long sleeves"
Palm Tree Girls Pink Solid Bomber Jacket,"Pink solid bomber jacket, has a stand collar, 2 pockets, zip closure, long sleeves, straight hem, and polyester lining"
PARFAIT Plus Size Purple  Pink Lace Underwired Lightly Padded T-shirt Bra P5581,Purple and pink lace medium-coverage T-shirt braLightly Padded and Underwired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
Arrow Taupe Tapered Fit Formal Trousers,"A pair of taupe mid-rise formal trousers, has a zip fly with a button closure and a concealed hook-and-bar closure, an adjustable autoflex waistband with belt loops, four pockets, and adjustable hemsOur stylist has paired these trousers with a beltThis pair of trousers does not come with a belt"
JEWEL JUNCTION Silver-Toned Geometric Cufflinks,A pair of silver-toned and black geometric printed cufflinksComes in a signature JEWEL JUNCTION case
Difference of Opinion Men Mustard Yellow Solid Round Neck T-shirt with Printed Detailing,"Mustard yellow solid T-shirt, has a round neck, and long sleeves"
AccessHer Women Gold-Plated & White Kundan-Studded Flower-Shaped Nosepin,"Oxidised gold-plated and white flower-shaped nosepin, has kundan-studded detail  Secured with a clip-on closure"
HIGHLANDER Men Grey & Black Striped Round Neck T-shirt,"Grey and Black striped T-shirt, has round neck, short sleeves"
Lady Lyka Women Pack of 2 Beginners Bras TEENAGER-RED-WHT,Red and white solid medium-coverage beginners brasNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
DKNY Unisex Silver Medium Trolley Bag,"Silver textured medium trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, an inner mesh zip compartment, two compression straps with click clasps and one zip compartment on the flap with a zip pocketWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer"
Raymond Men Green Printed Polo Collar T-shirt,"Green printed T-shirt, has a polo collar, short sleeves"
Lakme Absolute Matte Melt Liquid Lip Color - 23 Pink Poison 6 ml,Lakme Absolute Matte Melt Liquid Lip ColorShade name: 23 Pink Poison
Lakme Absolute Mattreal Mousse Concealer - Caramel 04 9 g,Lakme Absolute Mattreal Mousse ConcealerShade name: Caramel 04
DAVID BECKHAM Men Respect Eau De Toilette 90 ml,"NotesTop notes: Grapefruit, Watermelon, Pink PepperHeart notes: Cardamom, Lavendin, BasilBase notes: Vetiver, Patchouli, Moss"
AccessHer Gold-Toned & Yellow Classic Drop Earrings,Gold-Toned and Yellow Classic Earrings and gold-plated Secured with a post and back
MANGO Women Black & Yellow Floral Print Layered Top,"Black and yellow printed woven layered top, has a tie-up neck, sleeveless, and button closure"
Park Avenue Women Maroon Self Design Top,"Maroon self-design regular top, has a round neck, long sleeves, lace insert detail"
ahilya Maroon Gold-Plated Sterling Silver Hoop Earrings,"A pair of maroon gold-plated sterling silver hoop earrings, has floral detail with multiple multifaceted stone embellishments, and a jhumki dangler with a cluster of beadsSecured with a stylised insert closure"
AccessHer Gold-Plated & Black Beaded Mangalsutra,"Gold-plated and black beaded mangalsutra, handcrafted with vilandi Kundan, secured with an golden adustable chain"
Lady Lyka Women Beige and White Pack of 2 Beginners Bras ATHLETE-SKN-WHT-Multi,Pack of 2 Beige and white solid medium-coverage beginners braNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
Story@home Blue & Pink Floral 210 TC Cotton 1 King Bedsheet with 2 Pillow Covers,Set content: 1 King bedsheet with 2 pillow coversQuality: SuperfineThread count: 210Colour: Blue and PinkPattern: Floral
Urban Dog Men Charcoal Black Printed Regular Fit Sports Shorts,"Charcoal balack printed mid-rise sports shorts, has two pockets, a drawstring closure"
ID Men Beige Solid Leather Mid-Top Flat Boots,"A pair of round-toe beige flat boots, has mid-top styling, lace-up detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
Carrera Men Tan Brown Flat Boots,"A pair of round-toe tan brown flat boots, has regular styling, lace-up detailSynthetic Leather upperCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer"
Story@home Olive Green & Grey Geometric 210 TC Cotton 1 King Bedsheet with 2 Pillow Covers,Set content: 1 King bedsheet with 2 pillow coversQuality: FineThread count: 210Colour: Olive Green and GreyPattern: Geometric
Campus Sutra Men Red & Black Standard Regular Fit Checked Casual Shirt,"Red and black checked casual shirt, has a spread collar, short sleeves, button placket, and curved hem"
Gini and Jony Boys Black Regular Fit Solid Chinos,"Black solid mid-rise chinos, has hook-and-bar and zip closure, 5 pockets"
Story@home Green & White Floral 210 TC Cotton 1 King Bedsheet with 2 Pillow Covers,Set content: 1 King bedsheet with 2 pillow coversQuality: FineThread count: 210Colour: Green and WhitePattern: Floral
DKNY Unisex Maroon Solid Leather Backpack with Pouch,Maroon backpackPadded haul loop3 and more main compartments with zip closurePadded backZip PocketPadded shoulder strap: PaddedWater-resistance: Yes       Comes with a pouchWarranty: 5 yearsWarranty provided by brand/manufacturer
Parx Men Khaki Tapered Fit Solid Regular Trousers,"Khaki solid mid-rise regular trousers, has a button closure, four pockets"
Soie Green Self Design Underwired Non Padded Everyday Bra FB-610,Green full-coverage Everyday bra Non Padded and Flexible Underwired seamless three layered cupsCushioned front straps with lace and back closureSandwiched brushed layer for no show apex
Raymond Men Maroon Striped Polo Collar T-shirt,"Maroon striped T-shirt, has polo collar, short sleeves"
Lakme Absolute Matte Melt Liquid Lip Color - 15 Rose Love 6 ml,Lakme Absolute Matte Melt Liquid Lip ColorShade name: 15 Rose Love
Gini and Jony Girls Navy Blue Denim Striped Pinafore Dress,"Navy blue striped denim woven pinafore dress, has adjustable shoulder straps, sleeveless, concealed zip closure, and flared hem"
PARFAIT Plus Size Black Solid Underwired Lightly Padded Everyday Bra 4815,Black solid medium-coverage Everyday bra Lightly Padded and Underwired seamless cups Multiway straps and back closure Back style: Regular Feature: All Day Comfort
Parx Men White & Blue Slim Fit Printed Casual Shirt,"White and blue printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
Urban Dog Men Black Printed Regular Fit Sports Shorts,"Black printed mid-rise sports shorts, has two pockets, a drawstring closure"
Campus Sutra Men Blue Standard Regular Fit Checked Casual Shirt,"Blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
EthnoVogue Women Coral Pink & Orange Printed Made to Measure Printed Maxi Dress,"Coral pink and orange printed made to measure maxi dressCoral pink and orange printed made to measure maxi dress, has a round-neck, short sleeves,  concealed side zip closure, padded cups, has embellished detailing, attached lining with mesh detailing, flared hemWhat is Made to Measure? Customised gown according to your Bust and Length. So please refer to the Size Chart to pick your perfect size.How to measure bust?Measure under your arms and around your chest to find your bust size in inchesHow to measure Gown length?Measure from shoulder till barefoot to find dress length in inches"
PARFAIT Plus Size Black Solid Underwired Lightly Padded T-shirt Bra 4812,Black solid medium-coverage T-shirt bra Lightly Padded and Underwired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort
Lady Lyka Women Brown and Grey Pack of 2 Everyday Bras COULOUR-POP-BRN-GRY,Pack of 2 Brown and grey solid medium-coverage Everyday braNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
PARFAIT Plus Size Women Navy Blue Solid Hipster Brief P5645,"Navy blue solid low-rise hipster briefs with lace detail, has an inner elasticated waistband, double layered gusset"
Tokyo Talkies Women Burgundy Solid Top,Burgundy solid regular  fit
Parx Men Blue & Yellow Slim Fit Checked Casual Shirt,"Blue and yellow checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
ROMEE Grey & Red Floral AC Room 300 GSM Single Bed Dohar,Set content: Single bed dohar  Usage: AC Room  GSM: 300  Colour: Grey and Red  Pattern: Floral Dohar
ZUSH Plus Size Women Black Regular Fit Mid-Rise Clean Look Jeans,"Black dark wash five-pocket mid-rise jeans, clean look with heavy fade, has a button and zip closure, waistband with belt loops"
Lady Lyka Women Maroon and Beige Pack of 2 Everyday Bras MONALISA-MRN-SKN-Multi,Pack of 2 Maroon and beige solid medium-coverage Everyday braNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
TAYHAA White Solid Rectangular Photo Frame,Set Content: 1 photo frame Colour: White Frame Pattern: Solid Shape: Rectangular Type: Single Material: Acrylic
Gini and Jony Boys Navy Blue Slim Fit Printed Regular Trousers,"Navy Blue printed mid-rise knitted regular trousers, button closure, zip fly and 5 pockets"
Ishin Women Red & Gold-Toned Hem Design Wide Leg Palazzos,"A pair of Red and Golden hem design woven wide leg fit Palazzos, opaque, and slip-on closure"
